url,tournament_name,tier,start_date,host_country
https://en.wikipedia.org/wiki/2010_BWF_Super_Series_Masters_Finals,Super Series Masters Finals 2010,1500,2010-01-05,Taiwan
https://en.wikipedia.org/wiki/2010_Korea_Open_Super_Series,Korea Open Super Series 2010,500,2010-01-12,South Korea
https://en.wikipedia.org/wiki/2010_Malaysia_Super_Series,Malaysia Open Super Series 2010,500,2010-01-19,Malaysia
https://en.wikipedia.org/wiki/2010_All_England_Super_Series,All England Super Series 2010,500,2010-03-09,England
https://en.wikipedia.org/wiki/2010_Swiss_Open_Super_Series,Swiss Open Super Series 2010,500,2010-03-16,Switzerland
https://en.wikipedia.org/wiki/2010_Singapore_Super_Series,Singapore Super Series 2010,500,2010-06-15,Singapore
https://en.wikipedia.org/wiki/2010_Indonesia_Super_Series,Indonesia Super Series 2010,500,2010-06-22,Indonesia
https://en.wikipedia.org/wiki/2010_China_Masters_Super_Series,China Masters Super Series 2010,500,2010-09-14,China
https://en.wikipedia.org/wiki/2010_Japan_Super_Series,Japan Super Series 2010,500,2010-09-21,Japan
https://en.wikipedia.org/wiki/2010_Denmark_Super_Series,Denmark Super Series 2010,500,2010-10-26,Denmark
https://en.wikipedia.org/wiki/2010_French_Super_Series,French Super Series 2010,500,2010-11-02,France
https://en.wikipedia.org/wiki/2010_China_Open_Super_Series,China Open Super Series 2010,500,2010-11-30,China
https://en.wikipedia.org/wiki/2010_Hong_Kong_Super_Series,Hong Kong Super Series 2010,500,2010-12-07,Hong Kong
https://en.wikipedia.org/wiki/2011_Malaysia_Super_Series,Malaysia Open Super Series 2011,500,2011-01-18,Malaysia
https://en.wikipedia.org/wiki/2011_Korea_Open_Super_Series_Premier,Korea Open Super Series Premier 2011,750,2011-01-25,South Korea
https://en.wikipedia.org/wiki/2011_All_England_Super_Series_Premier,All England Super Series Premier 2011,750,2011-03-08,England
https://en.wikipedia.org/wiki/2011_India_Super_Series,India Open Super Series 2011,500,2011-04-26,India
https://en.wikipedia.org/wiki/2011_Singapore_Super_Series,Singapore Super Series 2011,500,2011-06-14,Singapore
https://en.wikipedia.org/wiki/2011_Indonesia_Super_Series_Premier,Indonesia Super Series Premier 2011,750,2011-06-21,Indonesia
https://en.wikipedia.org/wiki/2011_China_Masters_Super_Series,China Masters Super Series 2011,500,2011-09-13,China
https://en.wikipedia.org/wiki/2011_Japan_Super_Series,Japan Super Series 2011,500,2011-09-20,Japan
https://en.wikipedia.org/wiki/2011_Denmark_Super_Series_Premier,Denmark Super Series Premier 2011,750,2011-10-18,Denmark
https://en.wikipedia.org/wiki/2011_French_Super_Series,French Super Series 2011,500,2011-10-25,France
