tournament,tier,round,start_date,host_country,player_a,player_a_nat,player_b,player_b_nat,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
Swiss Open 2021,300,Semi-finals,2021-03-02,Switzerland,Viktor Axelsen,Denmark,Srikanth Kidambi,India,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Sergey Sirant,Russia,Lee Zii Jia,Malaysia,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Swiss Open 2021,300,Second Round,2021-03-02,Switzerland,Victor Svendsen,Denmark,Lee Zii Jia,Malaysia,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1512.0,-12.0,0.5,0.65,0.5,0,1,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Lakshya Sen,India,Victor Svendsen,Denmark,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1488.41,11.59,0.5,0.35,0.5,0,-1,0,0
Swiss Open 2021,300,Quarter-finals,2021-03-02,Switzerland,B. Sai Praneeth,India,Lee Zii Jia,Malaysia,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1523.59,-23.59,0.5,0.755,0.5,0,2,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Misha Zilberman,Israel,B. Sai Praneeth,India,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1488.81,11.19,0.5,0.35,0.5,0,-1,0,0
Swiss Open 2021,300,Second Round,2021-03-02,Switzerland,Pablo Abián,Spain,B. Sai Praneeth,India,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1501.2,-1.2,0.5,0.545,0.5,0,1,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Pablo Abián,Spain,Parupalli Kashyap,India,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1488.04,1500.0,-11.96,0.35,0.5,0.5,-1,0,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Felix Burestedt,Sweden,Rasmus Gemke,Denmark,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Swiss Open 2021,300,First Round,2021-03-02,Switzerland,Ajay Jayaram,India,Sitthikom Thammasin,Thailand,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
